Object ID,Colloquial Name,Current State,S3,People,Parent Object ID,Tags,Notes
T70,"Finish the Attachment A project refinements, send to Pauli & set meeting with him {T8}",Active,,,,S3-1,### This Week
T78,"Finish the Attachment A project refinements, send to Pauli & set meeting with him {T8} {T70}",Active,,,,S3-1,### This Week
T87,"Finish the Attachment A project refinements, send to Pauli & set meeting with him {T8} {T70} {T78}",Active,,,,S3-1,### This Week
T96,"Finish the Attachment A project refinements, send to Pauli & set meeting with him {T8} {T70} {T78} {T87}",Active,,,,S3-1,### This Week
T105,"Finish the Attachment A project refinements, send to Pauli & set meeting with him {T8} {T70} {T78} {T87} {T96}",Active,,,,S3-1,### This Week
T112,"Finish the Attachment A project refinements, send to Pauli & set meeting with him {T8} {T70} {T78} {T87} {T96} {T105}",Active,,,,S3-1,### This Week
T8,"Finish the Attachment A project refinements, send to Pauli \& set meeting with him",Active,,,,S3-1,### This Week
T58,Get 2 morgan parts to Sandy with situation brief,Active,,,,S3-1,
T65,Get 2 morgan parts to Sandy with situation brief {T58},Active,,,,S3-1,
T73,Get 2 morgan parts to Sandy with situation brief {T58} {T65},Active,,,,S3-1,
T82,Get 2 morgan parts to Sandy with situation brief {T58} {T65} {T73},Active,,,,S3-1,
T91,Get 2 morgan parts to Sandy with situation brief {T58} {T65} {T73} {T82},Active,,,,S3-1,
T100,Get 2 morgan parts to Sandy with situation brief {T58} {T65} {T73} {T82} {T91},Active,,,,S3-1,
T107,Get 2 morgan parts to Sandy with situation brief {T58} {T65} {T73} {T82} {T91} {T100},Active,,,,S3-1,
T54,Get with @Chelsey to explore Copilot or Boltwise options to shorten the timeline (#Commitment @Bryce ↓ Card 2025-11-05) — 1 pt,Active,,,,,
T7,Set meeting with Jane (Resideo update) #Commitment @Jane,Active,,@Jane,,S3-1,
T69,Set meeting with Jane (Resideo update) #Commitment @Jane {T7},Active,,,,S3-1,
T77,Set meeting with Jane (Resideo update) #Commitment @Jane {T7} {T69},Active,,,,S3-1,
T86,Set meeting with Jane (Resideo update) #Commitment @Jane {T7} {T69} {T77},Active,,,,S3-1,
T95,Set meeting with Jane (Resideo update) #Commitment @Jane {T7} {T69} {T77} {T86},Active,,,,S3-1,
T104,Set meeting with Jane (Resideo update) #Commitment @Jane {T7} {T69} {T77} {T86} {T95},Active,,,,S3-1,
T111,Set meeting with Jane (Resideo update) #Commitment @Jane {T7} {T69} {T77} {T86} {T95} {T104},Active,,,,S3-1,
T59,Spend 30 min FINALIZING Morgan cost savings project,Active,,,,S3-1,
T66,Spend 30 min FINALIZING Morgan cost savings project {T59},Active,,,,S3-1,
T74,Spend 30 min FINALIZING Morgan cost savings project {T59} {T66},Active,,,,S3-1,
T83,Spend 30 min FINALIZING Morgan cost savings project {T59} {T66} {T74},Active,,,,S3-1,
T92,Spend 30 min FINALIZING Morgan cost savings project {T59} {T66} {T74} {T83},Active,,,,S3-1,
T101,Spend 30 min FINALIZING Morgan cost savings project {T59} {T66} {T74} {T83} {T92},Active,,,,S3-1,
T108,Spend 30 min FINALIZING Morgan cost savings project {T59} {T66} {T74} {T83} {T92} {T101},Active,,,,S3-1,
T6,Submit McMaster-Carr deal log and await on review.,Active,,,,S3-1,### Next Few Days
T67,Submit McMaster-Carr deal log and await on review. {T6},Active,,,,S3-1,### Next Few Days
T75,Submit McMaster-Carr deal log and await on review. {T6} {T67},Active,,,,S3-1,### Next Few Days
T84,Submit McMaster-Carr deal log and await on review. {T6} {T67} {T75},Active,,,,S3-1,### Next Few Days
T93,Submit McMaster-Carr deal log and await on review. {T6} {T67} {T75} {T84},Active,,,,S3-1,### Next Few Days
T102,Submit McMaster-Carr deal log and await on review. {T6} {T67} {T75} {T84} {T93},Active,,,,S3-1,### Next Few Days
T109,Submit McMaster-Carr deal log and await on review. {T6} {T67} {T75} {T84} {T93} {T102},Active,,,,S3-1,### Next Few Days
T42,incomple,Active,,,,,
